player,player,0,36,12
fairy,903,0,37,13
momotaro,001,0,37,11
saru,002,0,36,10
kizi,003,0,37,10
inu,004,0,38,10
kaguya,101,0,38,4
akazukin,201,0,37,5
jack,301,0,36,2
cinderella,401,0,37,3
ozi,405,0,36,4
butaTyou,503,0,36,7
butaZi,502,0,37,7
butaSan,501,0,38,7

kooniRed,007,1,30,12
kooniYellow,008,1,31,13
kooniBlue,009,1,30,14
virus,911,1,29,13
kooniRed,007,1,29,3
kooniYellow,008,1,28,2
kooniBlue,009,1,28,4
virus,911,1,27,3

okami,206,1,20,3
okamiZ,504,1,20,4
okami,206,1,19,3
virus,911,1,19,4
okamiZ,504,1,19,15
okami,206,1,19,16
okamiZ,504,1,20,16
virus,911,1,20,15

homo,302,1,9,3
homo,302,1,10,6
homo,302,1,14,5
homo,302,1,15,8
homo,302,1,10,10
homo,302,1,12,12
homo,302,1,15,13
homo,302,1,7,11
homo,302,1,11,15
homo,302,1,13,16
homo,302,1,15,15
virus,911,1,11,12

shishaRed,102,1,3,9
shishaBlue,103,1,4,10
shishaRed,102,1,5,9
shishaBlue,103,1,3,19
shishaRed,102,1,4,18
shishaBlue,103,1,5,19
shishaYellow,104,1,1,11
shishaYellow,104,1,1,17
virus,911,1,0,9
virus,911,1,0,20

skelton,905,1,4,14
skeltonStaff,908,1,3,13
skeltonStaff,908,1,3,15
skeltonStaff,908,1,5,13
skeltonStaff,908,1,5,15
skeltonStaff,908,1,4,12
virus,911,1,4,16

tiwawa,906,1,8,25
tiwawaStaff,909,1,7,26
tiwawaStaff,909,1,5,26
tiwawaStaff,909,1,9,24
tiwawaStaff,909,1,9,22
tiwawaStaff,909,1,7,22
tiwawaStaff,909,1,5,22
tiwawaStaff,909,1,4,25
virus,911,1,2,25

nesan,907,1,19,24
nesanStaff,910,1,19,22
nesanStaff,910,1,18,23
nesanStaff,910,1,17,24
nesanStaff,910,1,18,25
nesanStaff,910,1,19,26
nesanStaff,910,1,18,25
nesanStaff,910,1,19,26
nesanStaff,910,1,15,24
nesanStaff,910,1,15,23
nesanStaff,910,1,15,25
virus,911,1,20,24

evilMagician,904,1,32,20
skeltonStaff,908,1,30,20
tiwawaStaff,909,1,32,22
nesanStaff,910,1,34,20
skeltonStaff,908,1,30,22
tiwawaStaff,909,1,32,24
nesanStaff,910,1,34,22
virus,911,1,31,23
virus,911,1,33,23
virus,911,1,29,21
virus,911,1,35,21
